100000
0.403322	0.596678	1.269523	0.876141
0.474838	0.525162	0.925014	0.051094
0.421956	0.578044	0.360533	1.470810
0.793796	0.206204	0.866776	1.149239
0.367737	0.632263	0.991457	0.849080
0.399226	0.600774	0.405909	0.736623
0.490417	0.509583	0.019249	1.520778
0.636639	0.363361	1.394706	0.105944
0.790407	0.209593	1.442604	0.649787
0.659884	0.340116	0.074986	0.999693
0.318967	0.681033	0.691089	0.737613
0.377031	0.622969	1.561049	0.108310
0.778971	0.221029	0.450853	0.832407
0.495472	0.504528	0.255627	0.728365
0.362536	0.637464	0.176520	0.474416
0.642812	0.357188	0.208845	0.051105
0.418426	0.581574	0.503487	0.964176
0.687025	0.312975	0.926141	0.119426
0.361143	0.638857	0.951514	1.124244
0.553584	0.446416	0.207322	0.826927
0.433402	0.566598	0.195370	1.251986
0.500181	0.499819	1.017990	1.044298
0.689529	0.310471	0.080162	1.051605
0.307194	0.692806	1.194269	0.652345
0.717841	0.282159	1.172533	1.398507
0.337568	0.662432	1.064135	1.125201
0.356600	0.643400	0.130836	0.730976
0.335664	0.664336	1.258753	0.787149
0.368424	0.631576	1.460240	0.916098
0.313130	0.686870	0.046082	0.348980
0.524495	0.475505	0.993742	0.451635
0.331199	0.668801	0.469899	0.577144
0.385438	0.614562	0.677932	1.400402
0.708882	0.291118	0.696673	0.420898
0.775211	0.224789	0.391292	1.536954
0.313456	0.686544	1.297836	0.146131
0.777269	0.222731	1.328656	1.012156
0.756655	0.243345	0.940563	0.452243
0.516971	0.483029	0.432224	1.210363
0.509508	0.490492	0.673546	0.026706
0.342717	0.657283	1.138903	0.136454
0.737144	0.262856	0.049611	0.367117
0.424409	0.575591	0.584441	0.923851
0.250229	0.749771	1.208569	1.000678
0.351847	0.648153	0.850592	1.416358
0.304436	0.695564	0.862349	0.054527
0.581993	0.418007	0.345252	0.795660
0.222603	0.777397	0.914275	0.057923
0.317845	0.682155	1.091436	0.969095
0.337902	0.662098	1.218791	0.208204
0.271334	0.728666	0.011903	0.873813
0.744230	0.255770	1.422565	1.315818
0.616397	0.383603	0.248596	1.455145
0.558608	0.441392	0.739662	0.871421
0.725074	0.274926	1.017766	0.667407
0.583479	0.416521	0.882980	0.873418
0.773960	0.226040	1.338904	0.582137
0.683396	0.316604	1.205015	1.046223
0.597759	0.402241	0.091791	0.199279
0.489295	0.510705	1.209624	1.369964
0.576568	0.423432	0.527856	0.369576
0.450330	0.549670	1.401579	0.684407
0.622700	0.377300	1.156442	1.373453
0.232063	0.767937	0.319547	0.363660
0.466659	0.533341	0.460232	1.012954
0.318895	0.681105	0.490476	0.532674
0.400688	0.599312	1.447290	0.227326
